Id,Lang,Code,Definition,CreateDate,IsDeleted,UpdateDate,GUID,CreateUserId,UpdateUserId,Definition_Translated_fil
249,en,common_languages,languages,2019-08-07 17:38:02.747,0,2020-03-13 21:51:00.887,29752081-02e7-4b73-a5d3-c379caaf1d6e,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Mga wika
250,en,search_departure,From,2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.993,6bbbc156-c54a-40d9-a4a0-45ed78dcd78e,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Mula sa
251,en,search_arrival,To,2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.990,c33346c0-f42d-49ed-b70a-c4ce0cdbb95a,-1,-1,Patutunguhan
252,en,search_departuredate,Departing,2019-08-07 17:38:02.747,0,,3c1109af-1f73-4058-8ec8-2d26e04b9280,-1,-1,Pag-alis
253,en,search_arrivaldate,Returning,2019-08-07 17:38:02.747,0,,03967f73-d4f4-4447-ab81-c86c1f7b0550,-1,-1,Pagbabalik
254,en,search_travellers,Passenger/s,2019-08-07 17:38:02.747,0,2020-03-17 09:45:55.067,4e08a02b-ceb4-41f1-9d72-8690f9a917b2,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Pasahero/ Mga pasahero
255,en,search_flight_button,Flight Search,2019-08-07 17:38:02.747,0,2020-03-13 21:53:33.633,11326874-3135-4b81-8119-1f2867094be8,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Paghahanap ng mga flight
256,en,search_adult,Adult,2019-08-07 17:38:02.747,0,2024-09-10 11:54:45.123,442c066a-d3ab-4f13-8baf-531ec41e046d,-1,8e78aa62-5132-4e2f-9a18-eb3eaa9902a1,Matanda
257,en,search_child,Children,2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.990,9082bc96-d043-497d-a643-712743afa932,-1,16ac3327-cf2e-4728-9cab-f0504fd290c0,Mga Bata
258,en,search_baby,Infants,2019-08-07 17:38:02.747,0,2024-06-06 11:38:58.163,0e7b0c53-07f0-4c97-b144-80e13a656b71,-1,16ac3327-cf2e-4728-9cab-f0504fd290c0,Mga sanggol
259,en,search_directflight,Direct only,2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.993,32324b46-f96b-4b68-be22-9cde3e8e887c,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Mga direktang flight lamang
260,en,search_oneway,One way,2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.997,e1d2058d-5d3c-4a58-8670-a812b961177d,-1,-1,Isang paglalakbay
261,en,search_circle,Round trip,2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.993,8b6e5552-eeec-4a36-ae71-d542bb93eef6,-1,935a8f01-b666-4a24-83cb-2df1a0d9f049,Pabalik na biyahe
262,en,search_ADT,Adults,2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.990,c13c7b0d-6a38-43a2-bb0c-7e09ab59a562,-1,-1,Mga Adulto
263,en,search_CNN,Child (2-11 years),2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.993,f2f8ec62-3942-458b-92e3-1947b37ce378,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Bata (2–11 taon)
264,en,search_INF,Infant (0-1 year),2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.997,1f331f3c-98e9-46d1-80e7-33e3a3feef09,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Sanggol (0–1 taon)
265,en,search_selectairport,From-City/Airport Select,2019-08-07 17:38:02.747,0,,74a4b2c8-a83a-4fc4-9551-fa334872be13,-1,-1,Mula — Piliin ang Lungsod/Paliparan
266,en,search_multi,Multi-city,2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.997,ab84d29d-3e4c-43f7-bb9a-4c8da6aba29e,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Maramihang destinasyon
267,en,header_most,My Trips,2019-08-07 17:38:02.747,0,,f3683a31-c12a-47ab-be50-12abaf5a5af9,-1,-1,Aking Mga Biyahe
268,en,header_needhelp,Need help ?,2019-08-07 17:38:02.747,0,2020-03-13 22:01:00.173,8ce1f05b-80cc-410c-a1bb-2ec985144d32,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Kailangan mo ba ng tulong?
269,en,header_log_in_or_sign_up,Sign in,2019-08-07 17:38:02.747,0,2024-08-28 10:35:23.327,44d7aacb-57c2-4268-94c5-2f12984dd03a,-1,8e78aa62-5132-4e2f-9a18-eb3eaa9902a1,Mag-sign in
270,en,header_log_in_fast_or_sign_up,Have an account?,2019-08-07 17:38:02.747,0,2024-08-28 10:34:01.807,f034fae2-ab4b-4f84-8cbc-523ce504755d,-1,8e78aa62-5132-4e2f-9a18-eb3eaa9902a1,May account na ba kayo?
271,en,header_select_language,Languages,2019-08-07 17:38:02.747,0,2020-03-13 22:04:14.397,da753c4a-789c-4aee-a999-b5c0f18d9a3a,-1,dc01ef46-af8e-4952-8ad0-8d8d6e744aac,Mga wika
272,en,header_menu_flight,Flights,2019-08-07 17:38:02.747,0,2024-05-22 11:29:20.957,8b2cbefd-f07d-4ed2-9d7f-43170a09c940,-1,-1,Mga flight
