Code,Description,Lang,Description_Translated_th,Description_Translated_ms
010,{0}x{1} kg Carry-on,en,{0}x{1} กก. ขึ้นเครื่องแบบไม่เสียค่าใช้จ่าย,{0}x{1} kg Bagasi Kabin
015,{0}x{1} kg Carry-on,en,{0}x{1} กิโลกรัม สัมภาระถือขึ้นเครื่อง,{0}x{1} kg Bagasi Kabin
016,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
017,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
018,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
019,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01F,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01G,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01H,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01I,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01J,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01K,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01L,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01M,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01N,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01O,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01P,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01Q,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01R,{0}x{1} kg Carry-on,en,{0}x{1} กก. สัมภาระฝาก,{0}x{1} kg Bawaan Kabin
01T,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01U,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
01X,Meal & Beverage,en,ข้อเสนออาหารและเครื่องดื่ม,Makanan & Minuman
01Z,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
027,{0}x{1} kg Checked bag,en,{0}x{1} กิโลกรัม สำหรับกระเป๋าเช็คอิน,{0}x{1} kg Beg Daftar
02A,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
02B,Meal & Beverage,en,มื้ออาหารและเครื่องดื่ม,Makanan & Minuman
02C,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
02D,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
02E,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
02F,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
02G,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
02H,Meal & Beverage,en,อาหารและเครื่องดื่ม,Makanan & Minuman
